OTU,Size,Taxonomy
Otu149,1,Bacteria(100);Actinobacteriota(100);Coriobacteriia(100);Coriobacteriales(100);Atopobiaceae(100);Libanicoccus(100);
Otu150,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Lachnospiraceae_NK4B4_group(100);
Otu151,1,Bacteria(100);Verrucomicrobiota(100);Lentisphaeria(100);Victivallales(100);vadinBE97(100);vadinBE97_ge(100);
Otu152,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Catenisphaera(100);
Otu153,1,Bacteria(100);Planctomycetota(100);Phycisphaerae(100);Tepidisphaerales(100);Tepidisphaerales_unclassified(100);Tepidisphaerales_unclassified(100);
Otu154,1,Bacteria(100);Gemmatimonadota(100);Gemmatimonadetes(100);Gemmatimonadales(100);Gemmatimonadaceae(100);Gemmatirosa(100);
Otu155,4,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Family_XI(100);Peptoniphilus(100);
Otu156,1,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Butyricicoccaceae(100);UCG-008(100);
Otu157,10,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Oscillospiraceae(100);UCG-003(100);
Otu158,7,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelatoclostridiaceae(100);Erysipelotrichaceae_UCG-003(100);
Otu159,22,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Ruminococcaceae(100);Subdoligranulum(100);
Otu160,18,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Fusicatenibacter(100);
Otu161,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);uncultured(100);
Otu162,5,Bacteria(100);Firmicutes(100);Negativicutes(100);Acidaminococcales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu163,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Planctomycetales(100);Rubinisphaeraceae(100);SH-PL14(100);
Otu164,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Paludisphaera(100);
Otu165,1,Bacteria(100);Cyanobacteria(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);Cyanobacteria_unclassified(100);
Otu166,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Microscillaceae(100);Microscillaceae_unclassified(100);
Otu167,1,Bacteria(100);Planctomycetota(100);Planctomycetes(100);Isosphaerales(100);Isosphaeraceae(100);Aquisphaera(100);
Otu168,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospirales_unclassified(100);Lachnospirales_unclassified(100);
Otu169,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Micrococcales(100);Dermabacteraceae(100);Brachybacterium(100);
Otu170,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Cytophagales(100);Hymenobacteraceae(100);Hymenobacter(100);
Otu171,1,Bacteria(100);Bacteroidota(100);Bacteroidia(100);Bacteroidales(100);Muribaculaceae(100);Muribaculaceae_unclassified(100);
Otu172,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_vadinBB60_group(100);Clostridia_vadinBB60_group_fa(100);Clostridia_vadinBB60_group_ge(100);
Otu173,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Faecalicoccus(100);
Otu174,2,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Epulopiscium(100);
Otu175,1,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Frisingicoccus(100);
Otu176,1,Bacteria(100);Actinobacteriota(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Mobiluncus(100);
Otu177,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Acetoanaerobium(100);
Otu178,1,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Hungateiclostridiaceae(100);Hungateiclostridiaceae_unclassified(100);
Otu179,1,Bacteria(100);Firmicutes(100);Clostridia(100);Oscillospirales(100);Hungateiclostridiaceae(100);Hungateiclostridium(100);
Otu180,1,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_15(100);
Otu181,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Clostridioides(100);
Otu182,3,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridium_sensu_stricto_11(100);
Otu183,1,Bacteria(100);Firmicutes(100);Clostridia(100);Peptostreptococcales-Tissierellales(100);Peptostreptococcaceae(100);Terrisporobacter(100);
Otu184,4,Bacteria(100);Firmicutes(100);Clostridia(100);Lachnospirales(100);Lachnospiraceae(100);Hungatella(100);
Otu185,1,Bacteria(100);Firmicutes(100);Bacilli(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_ge(100);
